IP Address,Open Ports,Services
213.255.32.245,443,HTTP
213.255.32.240,25,SMTP
213.255.32.247,"123, 161","NTP, SNMP"
213.255.32.255,161,SNMP
213.255.32.244,443,HTTP
213.255.32.241,8443,HTTP
213.255.32.227,"80, 443","UNKNOWN, HTTP"
213.255.32.243,443,HTTP
213.255.32.224,161,SNMP
213.255.32.254,"123, 161","NTP, SNMP"
213.255.32.235,"443, 8443","HTTP, HTTP"
213.255.32.239,443,HTTP
213.255.32.248,"123, 161","NTP, SNMP"
213.255.32.251,25,SMTP
213.255.32.250,"443, 500","HTTP, IKE"
213.255.32.242,443,HTTP
213.255.32.234,443,HTTP
213.255.32.231,21,FTP
213.255.32.252,"80, 443","HTTP, HTTP"
